2187.54,2157.89,2261.44,2229.46,699.417,0
8595.07,892.463,8670.23,965.245,768.421,0
8634.39,1049.11,8712.55,1124.8,933.962,0
8840.04,1208.74,8915.06,1281.38,760.603,0
8839.54,1247.78,8915.56,1321.39,816.063,0
8879.2,1246.66,8957.53,1322.51,943.56,0
8838.13,1325.47,8916.97,1401.81,971.017,0
8920.45,1326.13,8997.92,1401.15,896.012,0
9003.35,1406.41,9078.28,1478.97,755.655,0
9043.69,1405.95,9119.57,1479.43,808.133,0
9125.55,1485.21,9200.98,1558.26,783.619,0
9083.61,1523.65,9161.29,1598.88,907.507,0
8432.6,1644.21,8506.18,1715.47,681.595,0
8513.86,1643.85,8588.18,1715.83,722.69,0
9004.08,1565.21,9077.56,1636.37,675.944,0
9084.78,1564.31,9160.12,1637.27,778.272,0
8799.9,1802.28,8873.57,1873.61,686.107,0
8799.47,1841.39,8874,1913.55,733.523,0
8840.38,1801.94,8914.73,1873.94,723.899,0
8881.02,1801.77,8955.72,1874.12,743.36,0
8963.25,1762.84,9036.75,1834,676.43,0
9085.27,1722.89,9159.63,1794.9,724.119,0
9167.09,1723.07,9241.08,1794.72,703.958,1
9207.53,1722.71,9282.26,1795.08,744.622,1
9166.32,1761.85,9241.84,1834.99,788.386,1
9206.03,1760.78,9283.77,1836.06,911.046,1
9167.08,1802.11,9241.09,1873.78,705.149,1
9207.65,1801.87,9282.15,1874.01,731.865,1
9248.59,1762.47,9322.83,1834.37,717.864,1
9367.35,1719.37,9448.97,1798.41,1124.75,0
9371.11,1762.54,9445.22,1834.3,710.411,0
9288.89,1801.49,9364.17,1874.4,775.488,1
9330.33,1841.62,9404.37,1913.32,706.708,0
9408.95,1759.66,9489.01,1837.18,1038.63,0
8840.35,1880.97,8914.75,1953.02,726.782,0
8839.99,1920.15,8915.11,1992.89,766.104,0
8881.34,1960.19,8955.39,2031.9,707.203,0
9124.97,1919.44,9201.56,1993.61,847.405,0
9084.19,1959,9160.7,2033.09,843.002,0
9289.32,1880.97,9363.74,1953.03,727.277,0
9289.6,1920.76,9363.46,1992.29,697.003,0
9330.27,1920.62,9404.42,1992.42,712.562,0
9246.66,1997.75,9324.77,2073.39,931.112,0
8881.45,2157.93,8955.29,2229.43,695.533,0
8916.64,2073.42,9001.73,2155.83,1316.44,0
8921.55,2117.71,8996.81,2190.59,774.161,0
9085.54,2118.41,9159.35,2189.89,694.05,0
9085.49,2157.89,9159.41,2229.47,699.939,0
9200.11,2110.78,9289.68,2197.52,1563.38,0
9166.31,2157.1,9241.85,2230.25,789.277,14
9248.15,2157.3,9323.28,2230.05,766.715,14
9493.77,2118.47,9567.46,2189.83,687.413,0
9533.97,2157.4,9608.89,2229.95,755.219,0
9615.85,2039.07,9690.27,2111.13,727.438,0
9615.69,2078.44,9690.43,2150.81,745.39,0
2184.39,2194.37,2264.59,2272.04,1046.78,0
2186.94,2236.37,2262.04,2309.09,765.056,0
2186.05,2314.55,2262.93,2389,863.53,0
2187.53,2355.51,2261.45,2427.09,699.93,0
2105.66,2473.86,2180.06,2545.91,726.718,0
2146.82,2434.67,2220.52,2506.04,688.152,0
2350.48,2355.21,2425.03,2427.4,734.788,0
1982.21,2512.42,2058.6,2586.39,836.31,0
2105.03,2512.78,2180.68,2586.03,795.253,0
2513.95,2553.04,2588.09,2624.83,712.167,0
2391.76,2632.34,2465.38,2703.63,683.507,0
2636.48,2592.64,2710.46,2664.28,703.776,0
2146.85,2750.9,2220.5,2822.22,685.317,0
2432.1,2789.98,2506.67,2862.19,735.887,0
2473.35,2790.4,2547.06,2861.78,688.411,0
2677.53,2671.91,2751.05,2743.11,678.05,0
2105.49,2829.43,2180.22,2901.79,744.527,0
2064.27,2947.61,2139.81,3020.77,789.862,0
2473.13,2829.71,2547.28,2901.52,713.197,0
2473.03,2869.14,2547.38,2941.14,723.746,0
2431.51,2907.99,2507.26,2981.34,801.187,0
2472.82,2908.46,2547.59,2980.87,746.843,0
2554.44,2947.98,2629.23,3020.4,748.198,0
1855.35,3654.39,1940.57,3736.91,1323.23,0
2024.2,3738.85,2098.25,3810.56,706.99,0
4472.61,3422.09,4547.8,3494.9,769.804,2
4432.12,3461.94,4506.65,3534.11,733.923,0
4472.58,3501.11,4547.83,3573.98,773.39,2
4513.64,3461.82,4588.4,3534.22,746.657,2
4548.18,3455.74,4635.5,3540.3,1439.25,0
4512.65,3500.39,4589.39,3574.7,855.45,2
4553.89,3500.8,4629.79,3574.3,809.416,2
4633.76,3459.57,4713.18,3536.48,1003.84,3
4633.96,3499.29,4712.98,3575.81,981.047,3
4552,3538.5,4631.68,3615.65,1017.67,2
4635.24,3540.05,4711.7,3614.1,840.404,3
4594.47,3579.63,4670.83,3653.57,834.809,3
4633.51,3577.9,4713.43,3655.3,1031.27,3
4674.07,3459.08,4754.5,3536.97,1059.48,3
4672.26,3496.85,4756.31,3578.25,1258.92,3
4717.93,3501.55,4792.27,3573.55,723.584,3
4793.25,3455.91,4880.22,3540.13,1419.92,0
4717.7,3540.86,4792.5,3613.29,748.648,3
4716.66,3579.37,4793.55,3653.83,863.944,3
4799.97,3541.47,4873.5,3612.68,678.934,0
4024.33,3659.92,4098.12,3731.38,692.98,0
4064.54,3738.38,4139.55,3811.02,760.297,0
4105.66,3699.15,4180.06,3771.2,726.623,0
4145.96,3738.19,4221.38,3811.22,782.933,4
4228.04,3659.56,4302.57,3731.74,734.181,4
4269.39,3660.08,4342.86,3731.23,675.502,0
4187.42,3699.28,4261.56,3771.08,712.678,4
4184.85,3736.32,4264.13,3813.09,995.784,4
